neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
Laguardia;Entire home/apt;62;2;56;43892;0.56;1;9;0
Plentzia;Entire home/apt;100;6;0;;;1;115;0
Zarautz;Entire home/apt;140;3;65;45194;0.64;1;102;5
Aretxabaleta;Entire home/apt;733;2;11;45293;0.16;7;275;4
Donostia-San Sebastian;Entire home/apt;218;1;87;45312;0.87;1;313;4
Donostia-San Sebastian;Entire home/apt;297;1;124;45374;1.33;1;307;24
Bakio;Entire home/apt;83;4;53;45211;0.62;1;203;4
Donostia-San Sebastian;Entire home/apt;160;30;195;44800;1.90;8;365;0
Donostia-San Sebastian;Entire home/apt;124;2;264;45368;2.61;1;336;20
Donostia-San Sebastian;Entire home/apt;92;2;66;45187;0.65;23;354;8
Laukiz;Private room;500;1;1;42559;0.01;13;365;0
Laukiz;Private room;164;2;1;42560;0.01;13;89;0
Laukiz;Private room;200;1;2;43343;0.02;13;90;0
Donostia-San Sebastian;Entire home/apt;216;2;374;45377;3.74;2;45;55
Asparrena;Private room;333;2;8;45095;0.09;5;277;1
Bilbao;Private room;46;1;487;45380;4.76;1;28;110
Irun;Entire home/apt;73;2;424;45347;4.19;1;266;32
Getaria;Entire home/apt;84;2;116;45295;1.19;1;299;9
Donostia-San Sebastian;Entire home/apt;167;1;65;45249;0.74;4;254;9
Donostia-San Sebastian;Entire home/apt;202;1;16;45070;0.23;4;186;1
Donostia-San Sebastian;Entire home/apt;162;1;32;45300;0.46;11;193;6
Barakaldo;Private room;90;1;37;45373;0.37;1;356;5
Donostia-San Sebastian;Entire home/apt;73;2;348;45368;3.57;1;335;40
Donostia-San Sebastian;Private room;55;2;300;45376;3.00;1;295;36
Elburgo;Private room;55;1;4;42813;0.04;1;0;0
Mungai;Entire home/apt;95;1;376;45378;4.05;1;313;72
Berriatua;Entire home/apt;100;2;148;45234;1.52;1;0;14
AlegrÃ­a-Dulantzi;Entire home/apt;200;2;33;44791;0.35;1;266;0
Donostia-San Sebastian;Entire home/apt;178;31;264;45262;2.63;2;139;2
Donostia-San Sebastian;Entire home/apt;165;31;225;44565;2.24;2;113;0
Donostia-San Sebastian;Private room;95;3;90;45196;0.94;5;162;15
Donostia-San Sebastian;Entire home/apt;416;1;14;45223;0.20;11;12;7
Donostia-San Sebastian;Private room;95;3;100;45189;1.03;5;161;11
Barakaldo;Private room;75;2;183;44865;1.87;1;0;0
Lekeitio;Entire home/apt;79;2;33;45179;0.34;1;89;12
Donostia-San Sebastian;Entire home/apt;109;2;136;45356;1.41;1;109;11
Donostia-San Sebastian;Entire home/apt;246;2;134;45372;1.38;1;266;19
Donostia-San Sebastian;Entire home/apt;186;1;13;45207;0.22;10;264;2
Oiartzun;Shared room;25;1;68;45156;0.70;5;153;6
Bilbao;Private room;48;2;162;45375;1.66;1;324;28
Zeanuri;Entire home/apt;273;2;36;45214;0.37;1;138;8
Lekeitio;Entire home/apt;99;1;107;45373;1.08;1;295;17
Bakio;Private room;60;1;362;45366;3.69;1;32;45
Zarautz;Entire home/apt;113;1;25;45128;0.27;2;262;2
Zarautz;Entire home/apt;113;1;20;45200;0.21;2;252;2
Bilbao;Entire home/apt;154;2;162;45369;1.62;1;244;25
Mundaka;Entire home/apt;130;2;3;45145;0.04;3;1;1
Donostia-San Sebastian;Entire home/apt;294;3;62;45205;0.64;1;119;12
Karrantza Harana;Entire home/apt;70;2;71;45235;0.73;1;0;9
Aia;Entire home/apt;425;2;112;45292;1.15;1;324;9
Bilbao;Private room;37;2;289;45373;2.94;1;138;52
Donostia-San Sebastian;Entire home/apt;288;1;241;45027;2.47;1;0;1
Eskuernaga;Entire home/apt;225;2;10;44864;0.10;1;365;0
Laguardia;Entire home/apt;440;2;19;44892;0.20;1;331;0
Donostia-San Sebastian;Entire home/apt;227;3;36;45382;0.37;1;99;6
Bilbao;Entire home/apt;171;1;383;45373;3.91;1;159;56
Donostia-San Sebastian;Entire home/apt;190;2;212;45347;2.16;1;113;31
Bilbao;Private room;140;4;123;45173;1.27;2;136;8
Orio;Entire home/apt;150;2;151;45194;1.55;1;189;15
Getxo;Entire home/apt;142;2;47;45376;0.48;1;29;3
Mundaka;Entire home/apt;81;2;228;45338;2.37;1;32;32
Ibarrangelu;Private room;117;1;7;44774;0.09;6;176;0
Donostia-San Sebastian;Entire home/apt;144;2;82;45351;0.84;23;319;9
Ibarrangelu;Private room;158;1;0;;;6;142;0
Aia;Entire home/apt;150;2;184;45294;1.89;2;260;13
Eskoriatza;Private room;64;2;15;45156;0.17;1;358;3
Donostia-San Sebastian;Private room;85;1;330;45368;3.38;2;315;46
Mundaka;Entire home/apt;71;1;221;45375;2.27;1;76;27
Elburgo;Private room;75;1;8;44753;0.09;4;90;0
Zarautz;Entire home/apt;117;2;146;45377;1.51;1;255;19
Bernedo;Entire home/apt;506;2;105;45375;1.08;1;291;9
Donostia-San Sebastian;Entire home/apt;175;2;68;45243;0.71;1;329;19
Zarautz;Entire home/apt;140;2;134;45242;1.37;1;284;17
Donostia-San Sebastian;Entire home/apt;154;2;334;45381;3.42;1;203;59
